"","quote_text","response_text","relation"
"9807","Bonus Question:
 We don't know. We credit Homer for the silly reason that a blind guy telling epic stories makes for good imagery. The stories were likely oral traditions passed along and embellished repeatedly.","Why then is this not taught in history classes? Why are we taught AS FACT that Homer wrote them?",1
"1165","A curse? If you don't agree with it that's one thing. Many people have died because of Christianity.","Bad Religion or misapplied Religion has been in every century, country and culture.",1
"3012","if the laws of logic are human constructs then how can they be absolute since humans think differently and often contradictorily. If they are produced from human minds, and human minds are mutually contradictory, then how can the constructs be absolute? Therefore, the laws of logic are not human constructs.","very true. logic exists whether people are there to grasps its concepts or not.
 
 where we disagree is at your assumption that god created logic. how can this be? logic is not contingent on any intelligent entity, whether it be man or god, to exist. the logic of increasing a quantity by adding to it would remain whether god existed or not. you have yet to tie the existence of logic to god as its cause",1
"6895","If God is a forgiving one, why is there the Devil?","Because Satan is a fallen angel. He had a chance to be with God, but he didn't take it. He could go back to God any time he wanted to, but he doesn't want to. He has free will. God won't take that away, even though He can.",1
"1167","I might start another thread, and change the subject to:
 
 I'm Not Dumb Enough to Be an Agnostic!
 
 Oh well, at least it represents a more illectually honest position than Atheism!","I've tried to be ""intellectually honest"" with you as well as patient with your ""fuzzy"" thinking and propensity to paste and interpret.",1
"326","Well? Let's get to it. Why do YOU believe?","I believe in that which is. Because to believe in anything else is ultimately pointless.",1
"7875","I believe in the teachings of Jesus.","That's a vague statement.",1
"6877","You keep bringing up the Red Cross. The majority of donators to the Red Cross are most likely Christians as well, so what's your point? emoticon_confused","But is the Red Cross Christian? Obviously most contributors are Christian. That's obvious as most Americans are Christian.",1
"1369","Faith by definition is a belief without evidence.","yes.
 
 But then you throw in ""reasoned faith"". But then you are making up terms that try to show faith as reason. What is reasoned faith? If reasoned faith is the same as ""reason"", then fine, you aren't using faith. If it's faith, belief without evidence, then your evidence is your faith, and thus, it's circular.
 
 If your faith is even part of your ""evidence"" or ""reason"" for belief, then logically the entire claim is arrived at through circular reasoning. You can use both all you like, I'm just letting you know it's fallacy to claim faith as evidence, which you do. If you do not, then you are using reason, and not faith, and we don't need to continue because I see no fallacy in using evidence to back your claim.
 
 Enjoy.
 
 I found this as well, maybe it will be worded in such a way that you understand, since you seem to reject my arguments based on my name.
 
 http://rous.redbarn.org/objectivism/Writing/JoelKatz/answers2.html",1
"4936","2. The resurrection story of Jesus is:
 A. a myth - see answer 'A' above.
 B. a legend that grew over time, well after anyone could have proven the legend false.
 C. a lie fabricated by his followers immediately after his death
 D. an honest misunderstanding; the Jews lost the body and were embarressed to admit their mistake while his followers were hallucinating
 E. Other (limit your response to 50 words)","A.",1
"6714","Many on the religious right claim a belief in the existence of Satan and blame him for many of the evils in this world. I am curious why people believe that Satan is responsible for those evils, not men and their weaknesses. If you believe that Satan exists, can you give a specific example of some human event where you think he had to have played a role?","Oh, we already know a bunch of events that he played a role in. They even made it into a song!
 
 Please allow me to introduce myself 
 I'm a man of wealth and taste 
 I've been around for long, long years 
 Stole many man's soul and faith 
 
 And I was 'round when Jesus Christ 
 Had his moment of doubt and pain 
 Made damn sure that Pilate 
 Washed his hands and sealed his fate 
 
 Pleased to meet you 
 Hope you guess my name 
 But what's puzzling you 
 Is the nature of my game 
 
 I stuck around St. Petersburg 
 When I saw it was a time for a change 
 Killed the Czar and his ministers 
 Anastasia screamed in vain 
 
 I rode a tank 
 Held a general's rank 
 When the blitzkrieg raged 
 And the bodies stank 
 
 Pleased to meet you 
 Hope you guess my name, oh yeah 
 Ah, what's puzzling you 
 Is the nature of my game, oh yeah 
 (woo woo, woo woo) 
 
 I watched with glee 
 While your kings and queens 
 Fought for ten decades 
 For the gods they made 
 (woo woo, woo woo) 
 
 I shouted out, 
 ""Who killed the Kennedys?"" 
 When after all 
 It was you and me 
 (who who, who who) 
 
 Let me please introduce myself 
 I'm a man of wealth and taste 
 And I laid traps for troubadours 
 Who get killed before they reached Bombay 
 (woo woo, who who) 
 
 Pleased to meet you 
 Hope you guessed my name, oh yeah 
 (who who)
 But what's puzzling you 
 Is the nature of my game, oh yeah, get down, baby 
 (who who, who who) 
 
 Pleased to meet you 
 Hope you guessed my name, oh yeah 
 But what's confusing you 
 Is just the nature of my game 
 (woo woo, who who) 
 
 Just as every cop is a criminal 
 And all the sinners saints 
 As heads is tails 
 Just call me Lucifer 
 'Cause I'm in need of some restraint 
 (who who, who who) 
 
 So if you meet me 
 Have some courtesy 
 Have some sympathy, and some taste 
 (woo woo)
 Use all your well-learned politesse 
 Or I'll lay your soul to waste, um yeah 
 (woo woo, woo woo) 
 
 Pleased to meet you 
 Hope you guessed my name, um yeah 
 (who who)
 But what's puzzling you 
 Is the nature of my game, um mean it, get down 
 (woo woo, woo woo) 
 
 Woo, who 
 Oh yeah, get on down 
 Oh yeah 
 Oh yeah! 
 (woo woo) 
 
 Tell me baby, what's my name 
 Tell me honey, can ya guess my name 
 Tell me baby, what's my name 
 I tell you one time, you're to blame 
 
 Oh, who 
 woo, woo 
 Woo, who 
 Woo, woo 
 Woo, who, who 
 Woo, who, who 
 Oh, yeah 
 
 What's my name 
 Tell me, baby, what's my name 
 Tell me, sweetie, what's my name 
 
 Woo, who, who 
 Woo, who, who 
 Woo, who, who 
 Woo, who, who 
 Woo, who, who 
 Woo, who, who 
 Oh, yeah 
 Woo woo 
 Woo woo 
 ~Sympathy for the Devil; by the Rolling Stones
 
 :) ;)",1
"9623","The ""truth"" about atheism is that it's the only proposition that makes sense (apart from agnosticism ?) to people who conclude, as I do, that religious principles are not based on reason.
 I know it's a bit unusual in a public forum but I'd like to introduce a little personal history here by way of illustration of my path to atheism: I was educated during my most impressionable years (11-18) at a grammar school controlled by the Jesuits. All my teachers were priests and many were of formidable intellect. Every morning began with ""divine service"", every lesson was started and ended with a prayer. At noon we sang the Angelus and at 3.30 in the afternoon we finished the school day with Benediction. We had at least one session a day learning and reciting the catechism - so we could be word perfect in our answers to metaphysical questions. Yet all this religious conditioning failed to arouse any spark of faith in me. Sure, I conformed to all outward appearances, but inwardly I rebelled and I did not believe. So why didn't I believe - because my clergymen teachers gave me no REASONS to do so. When, eventually, during my last days at school I chose to reveal my disbelief - the Rector said, ""Well, after all, faith is a gift from God !"" , and I had received no such gift. 
 Since, in my view, there is no reasoned evidence for God's existence, why succumb to wish-fulfillment ? It's less comforting but more honest to be an atheist.","I'm an atheist pretty much the same reason you are an atheist (except for going to a religious school.
 
 I didn't really think it was fair and balanced at all. It protrayed atheists as lost from the true path. The reasons it gave for being atheist were they hadn't found god yet, and a tradgedy. What about logically thinking about it? And a RELIGIOUS STUDIES teacher says that atheism is just a phase? They also say atheism is the easy way out. I think it's easier to just believe in a god and be comforted. I'm not saying people do but I'd say Christianity is more of a quick fix than atheism. All you have to do is believe in god and you're safe for your life and afterwards. Most Atheists don't believe what they do just to rebel or haven't found God yet. Mostly it's because they realized that there is no logical proof (enough for them) that there is God. They also said incorrectly that atheism isn't a religion.
 
 
 re·li·gion [ri líjj?n]
 n 
 1. religion beliefs and worship: people?s beliefs and opinions concerning the existence, nature, and worship of a deity or deities, and divine involvement in the universe and human life 
 
 Microsoft® Encarta® Reference Library 2003. © 1993-2002 Microsoft Corporation. All rights reserved.
 
 Wouldn't you say the belief that there is no god and when we die we die qualifies as this?",1
"650","If Jesus existed, was crucified and died for us, why do you take that bit literally when you've already stated the contrary?","Yes and no",1
"8297","Good Lord, grow up. I believe in him, you don't, that makes you feel superior because we believe in the tooth fairy and you don't, blah, blah, blah, invisible guy in the sky, etc, etc. I've heard it all before...a THOUSAND times. This thread is obviously for people who DO believe in God, so take the programmed parrot talk elsewhere.","""One day you're going to realize that you're ""evangelizing"" and ""witnessing"" have pushed far more people away from religion then has brought them in.""
 
 ""You're not telling people about God, you're guilting them and putting them down. You're drawing an imaginary line that separates ""us"" from ""them"", and you're cutting yourself off from other people. When Jesus ""evangelized"" (I believe with all my heart he would hate that word), he made honest friends, not with the purpose to ""convert"" them. He didn't hand them a track and scare them into being a Christian. No wonder people hate Christians, for God's sake I'm starting to hate Christians.""
 
 Maybe you should follow your own advice...
 
 jim:
 
 Yes, God loves Saddam but He hates the way he is acting.",1
"5605","Hell isn't even based on actions, but on belief and the people who are sent there do not recieve a lesson nor a chance to correct themselves.","Eternal damnation is the punishment of sin.",1
"2302","Matthew 5:17
 
 Think not that I am come to destroy the law, or the prophets: I am not come to destroy, but to fulfil.KJV","So Joe, do you eat pork? How about shrimp?",1
"4542","(this is satire by the way)","And a good one at that. I can hear the wheels a-spinnin&#8217; :)",1
"427","We're all quite impressed with your knowledge of third grade insults, unfortunately, this is not debate.","Thank You. You know how much I love to impress people.",1
"588","Upon what basis would discussion be acceptable if not scripture? If we are to debat the topic, what sources for informational purposes do you consider as ""authoritative""?
 
 EF","A rational mind.",1
"9059","This Pauline gospel of a dying and rising savior bore unmistakable similarity to many of the Greek and Roman mystery cults which had similar stories. Paul's description of the eucharist as a Christian mystery lent further support to this view. But there were notable differences as well. (Paths of Faith: Fourth Edition, John A. Hutchinson, McGraw-Hill, 1991, p417)","Well, the claim isn't that they were identical, just that they preceded Jesus and were very similar.",1
"733","The thing is, though, god and humans aren't the only candidates. Mach illustrated this point in the first post. Ogres, vampires, ghosts, etc. are all other possible candidates. That said, change ""God"" to ""ogres"" and the argument proves the existence of ogres.","I see, thanks for answering my question.",1
"6701","Well, Satan was invented to explain why there is evil in the world.. the dualism. He was adopted by the Hebrews under the influence of Persia. However, in the Jewish religion, Satan is not this incredilbly evil being out to corrupt souls, but rather just an angel (who had no free will), whose job it was to provide for bad choices so that people may choose GOOD ,and thus live more sanctified lives by their own actions.","A Jungian might suggest such a stance. In other words, one (good) cannot exist without the other (evil). 
 
 I wonder what some of our more interesting christian friends (AA, GC) might have to say about such?",1
"1978","Which then would NOT be omnipotent/omniscient.","Our definition of omniscient does not include virtual. That tells me that omniscient means having infinite knowledge.",1
"3574","Possible, if you read the bible. God told Moses he could overcome the Egyptian Gods. Never did God say any other God where False.
 
 For I will pass through the land of Egypt this night, and will smite all the firstborn in the land of Egypt, both man and beast; and against all the gods of Egypt I will execute judgment: I am the LORD.","The god of Moses was a pretty nasty guy.",1
"6551","Second, the majority of the world believes there is a god, and the others don't want to believe (hope there isn't) a god","How do you know if they WANT to believe in a deity? They simply don't.",1
"7733","that's right, i don't want ANOTHER parental figure to tell me what to do, when to do it, and how to do it.","Of course you don't. It's the natural humanistic way of thinking.",1
"8918","i didnt mention good anywhere in my post
 
 
 this is totally false. the laws of logic being absolute does nothing to support a case for god. in fact, everything the bible tells us about god's nature indicates that god is illogical, unpredictable, unreliable and irreplicable. this is totally the opposite of logic","Your making a bunch of arbitrary statments.",1
"1870","Was incest okay back then?","Well, how else were they supposed to reproduce?",1
"9953","1. Jesus was:
 E: a man who probably existed, perhaps even with good ideas about living. Stories about Jesus were embellished with ideas stolen or adapted from other religious and cultural stories.
 
 
 2. The resurrection story of Jesus is:
 E: Complete bunk with no reliable supporting evidence.","Thank you for your response.",1
"8617","I have been asking that for 10 years now and get a lot of different answers Haaa Haaa When you can find someone that is lodgical about the subject you will find out but until that time it is like looking for a needle in a hay stack.","Surely this question be easy enough to answer. 
 
 Any rational thinking thiest want to give my question a shot?",1
"354","Actually the Apocrypha is made up of pre-Christian texts, and late 4th century is a bit of a stretch for the new testament, certainly all its component texts were widely accepted by the 2nd century. I don't whether it is ""generally accepted"" that the text was altered, it seems to me that you are projecting your own views based on the hypotheses of some scholars on to Biblical scholarship in general.","While the current cannon was 'accepted' by the late second century, there were numerous other 'gospels' that existed by then, and were eliminated at the 4th century time frame. Most of those copies were destroyed, but some have been unearthed.",1
"7547","Ness,
 Do you embrace the theology of Christianity, the morals, the ritual? What component?","I believe that science explains the way God created the universe.",1
"1209","#1 What does intelligently mean?
 #2 What does designed mean?","You know, I'm thinking of suggesting that they put a permanent link to an online dictionary on this forum. 
 http://dictionary.reference.com/search?q=designed
 
 You could take ""intelligently"" to mean that the being is conscious of what it's doing; that it's doing what it is purposefully.",1
"6247","So why have we a abandoned so much of the old testiment law? Stop eating pork, cutting your hair, shaving your beard (especially you girls), unless of course you just wish to adhere to those laws that are convenient.","Well there's a new Covenant / Testament. But Jesus declared all foods clean so you can have your pork. Check for trichinellas, which is probably one reason it wasn't on God's preferred list in those unsanitary times.
 
 Recommended study for you: Investigate the different kinds of laws (i.e. moral, civil / tort, ceremonial, dietary). Then look at how these issues are treated in the NT.",1
"5353","...that the notion of the universe created by a being ""resembling a man but magnified in every respect, an idealized superman"", reflects the gross ignorance of primitive peoples.","And that belief in God is further:",1
"4053","This is why the title is ""God exists!!! (but he's not who you think he is). It's a funny proof which I don't think Christians would agree this definition was God. But basically it's saying that take the set of all human beings. Call the greatest God. God exists.
 Not only that, but the final conclusion is one of the premises. The proof is one big circle :)","Thanks: your contributions to this thread throw more light on the subject than
 anybody else's. However, not sure that believers in any religion in which
 supernatural agencies are worshipped would be happy with the inclusion of
 ""God"" among the set of human beings - unless Jesus Christ was both a 
 man and God which I think is a Christian doctrine.
 I suppose I started out reading this particular thread expecting to discover
 a non-circular logical argument that would ""prove"" the existence of a God -
 and found nothing of the kind. I now think my questions on the matter 
 have been rather stupid and naive.",1
"7553","it's rather rude not to","Why?
 
 ......",1
"9606","If no, why take cognisance of any of it?","Yes and no",1
"5791","simone Why would you want to prove your belief system to be true?","Well, it happens in virtually every thread.
 Some disagreements are between individuals of essentially the same basic system [Protestant Christian vs Protestant Christian], [atheist rationalist vs atheist rationalist]. 
 
 Many disagreements are between individual of differing belief systems. In such cases the individuals often use the same word to mean two different things.
 
 What is ""evidence""? Well, that will depend on your core belief system. Sacred writings may be excellent evidence for your belief system, but when you say the Qu'ran proves an issue, the Christian says ""That's not evidence!"".
 One side tries to convince the other side that their core beliefs are incorrect, so they really have no evidence for their position.",1
"5962","Logic is a human construct","Read the post before this one.",1
"8887","A devoutly religious person would disagree with all the statements in the Humanist Manifesto that I highlighted. Would they believe that public policy should be based on things that they don't believe?","Yes. I know of no one who agrees with all government policies, or all of the premesis that they're based on. But we do all agree (or at least almost all) that we need some method for forming those policies. Compromises must be made. A religious secularist could believe, for example, that if we allow religious beliefs to dictate policy than it's just a matter of time before general religious freedom is compromised for all but those who follow the religion of the ruling party. Rather than risk that they would think it an acceptable compromise to have some policies that they don't agree with, as long as they don't actively compromise their faith.",1
"5225","you know how christian are always saying ""it wasn't ment LITERALLY.""","Only the Christians who don't know what they're talking about.",1
"23","The Crusades killed many people just for not converting to Christianity.","Many were ignorant in the ""dark"" ages.",1
"9920","*walks in*
 *looks at posters*
 *notes no fundies have spoken out yet*
 
 Well, it's OBVIOUS that you don't have a discerning spirit and are thinking with your carnal mind. If you'd only have accepted the truth of the undying and never changing word of God, then you'd understand.
 You just gottsta believe first.
 It's as simple as that.
 But, no, you go right on hating God and you'll soon see where that will get you.
 BURNING IN HELL!!!
 
 Hahahah, FOOL!
 You are soo going to roast. In pain. FOR EVER!
 
 But, that's not my words.
 That's Gods!
 
 Me?
 I love you.
 I love you long time.
 Like forever even.
 If only you'd accept Jesus into your heart.
 
 Cause if you did.
 
 You'd see no contradictions in what you posted.
 
 Seriously...
 
 Drink the flavoraid.
 
 emoticon_xbouncer
 
 edit:
 Capitalize, size increase, italicize and underline various parts of my post. Color them some and insert random, out of contest bible passages to support my claims.","I think it's manifestly obvious that I'm a prophet.
 
 Therefore, the question of my diety should also be of little surprise.",1
"5604","As to the law of identity, Jesus is called both the ""Son of God"" and the ""Son of Man""","I believe Jesus actually can be both. Jesus called himself ""the son of man"", and we all fall into that category. Jesus calmed his father was in heaven. Jesus asked his mother, ""Who is my brother or my sister?"" 
 
 How can Jesus be the son of man and yet the son of God? What prayer did Jesus give when asked?
 
 Jesus told those who asked for a prayer from him to pray; ""Our Father, who art in heaven."" Hold up- If we pray, ""our father"", then who are we?
 
 We are the son of man. We are the son of God. Maybe getting to know yourself brings you closer to God than anyone else can. What does being born again mean? All things born have a mother and a father. 
 
 I believe love is logical. And Love is the simple key to understanding yourself and your neighbor. No other key will get you closer to self understanding. Now its logical to say a designer places a little of himself in everything he makes. If this is true then God is in us. Maybe love and a mirror is the best book you'll ever read on the subject of God.",1
"1096","If there is a god COULD he reveal himself?","YES, that is the answer to ""if God really exist NOW"" !
 But the whole world people won't believe to that so simple and TRUE answer !!
 
 
 Jesus was such a Great liar of the world !
 Up to now, still billions of people in the world believe in his lies !!",1
"8807","Essay:
 Site at least two sources that were written within 200 years after the supposed resurrection date of A.D. 33 which support your responses to questions 1 & 2. (limit your response to 100 words) If you cannot provide any source material from this time period, please provide the two earliest sources. (Note, if you can only provide source material from the previous century, you may want to re-visit your answers for Questions 1 & 2)","#1 is above.
 The Jesus myth came out of Hellenistic Judaism already heavily imbued with the ideas of the suffering servant (Isaiah 53) and the son of God subject to a shameful death (Wisdom of Solomon ""Let us condemn him with a shameful death""). Paul refers to the ""archons"", the evil heavenly rulers of the age, as those who crucified Jesus (1 Cor 2:8) and extols the justice of the Romans (Ro. 13:1-3). The earliest layers of Q material do not refer to a death or resurrection (Kloppenborg). No earthly Jesus, no crucifixion, no death. It is all myth, man.",1
"5561","That is very sexist. It is sad that you are ashamed of being male.","Well, actually, I did find it funny even though I'm a male (or at least, I think I am?)...probably because it's a joke and I know I'm not like the stereo-typical male so I can laugh at them.
 
 
 PS, I'm so unique because I'm so humble and would never brag about my bulging muscles, manhood and amazing intellect.",1
"9566","Having troubles getting past step one Simone?
 
 You just gotta try harder to want a God in your life.
 I know that it's more useless than tits on a man but hon, you gotta open your mind and heart up to the uber-natural farces that permiate the other semi-non-existing planes of being.
 And if yer still having troubles wanting to believe, you can send me some money. It seems to help people want to believe if they've paid good, hard earned money for it.
 Something about not wanting to see your investment go to waste...or was it not wanting to be proven to be a fool who fell for a scam...
 But, psychologically putting money on it seems to help you believe.","You have hit on something. But Christ said give all your money away and follow him, but not many believers obey this commandment. Most Christians are very interested in making more and more money. Capitalism and christianity are incompatible.",1
"5943","...how can matter bring about something that is not matter","You mean like music?",1
"6146","churches could shut down and not help strugling people with things like food and bills","Actually just as many atheist help the needy. 
 
 Of course a person would need to be open-minded to realize it. Here is one such atheist charity. If you were open-minded about such things then you would have learned that both Bill Gates and Warren Buffett, who have each individually made the two largest charitable donations in American history, are both atheist (Oops, bet that's gotta kill your argument, huh?) and they can rightly claim credit for spurring many other ultra-rich to also be charitable. 
 
 Ted Turner, the multi-billionaire, has also donated millions to others, and guess what grizzly6626, he's an atheist too! 
 
 George Soros, also a multi-billionaire, financier and philanthropist, has also donated millions and is also an atheist. The list goes on and on. You just don't hear about these people donating because they tend to do these things quietly, and not with a lot of *cough* religious *cough* fanfare.
 
 Didn't mean to wake you up grizzly6626 emoticon_xbye
 
 BTW - many catholic charities are known to turn the needy away. I've heard many accounts about how when some people first got married back in the 1970s, that catholic charities wouldn't help them out because they were not ""good, church-going catholics."" Basically because they didn't go to church every week (and put in their money filled envelope) the Church didn't consider them worthy of help.
 
 You see, it isn't because religion makes people morally better than atheism. Rather, it would be because churches often organize charitable activities and encourage their members to participate, while atheists, simply have no comparable social structure. It's not that churchgoers have a superior moral sentiment, just that because of their increased social structure they naturally have increased opportunity.
 
 There are countless amounts of people who are atheist that donate from the heart. They do not 'band together' into groups like religions do, and they do not advertise their charitable works like religions do, but they donate from the heart just the same. Here is a partial list of many such individuals who just happen to also be atheist. But it goes MUCH further than that though. There are a few organizations formed by atheists for the sole purpose of donating to those in need. One such organization is called S.H.A.R.E. - Secular Humanist Aid and Relief Effort. Here is a recent story about them helping those in need. So, when someone ignorant and closed-minded like grizzly6626 tries to convince you that 'only religions' donate or help those in need, you will now know that it's simply not true, and that people from all beliefs, even those that don't believe in God, help others in need and donate from their hearts, because they know it's the right thing to do for their fellow man in need emoticon_idea",1
"2823","How so...?","I see His presence in the wonderful world around me. I have felt His guiding hand in my life. I know others who have the same knowledge of God.",1
"8121","Hello everyone, first off I'd like to say I'm an evangelical Christian, so of course I believe in Jesus' existence, just as I believe the Word is the infallible Word of God.
 
 I have heard lately of people who actually argue that Jesus did not exist.
 
 I decided to start this thread to see what everyone thinks.
 
 Do you think Jesus existed? Do you think he existed as described in the bible (Son of God, etc.)? If not, why not?
 
 
 Here is my view - the Bible tells me that Jesus existed, and is the Son of God, as well as my Lord and Savior, and that is really all I need to know.
 
 Discuss.","I believe Jesus is a role model for the human race. I believe he is a very powerful idea. But what I do NOT believe is that there was some dude with a beard running around Israel healing the blind and preaching about his God. So, in a sense, I don't believe Jesus was a literal person in the ancient world, but more of a fable. Like Harry Potter is today.",1
"276","I have never received an actual explanation for the doctrine of eternal damnation from anyone I've asked. It is something I struggled with before turning to Atheism, something I tried desperately to rationalize, and was one of the main points that LED to me becoming Atheist
 
 Many Christians claim that their God is omnipotent/omniscient. They claim that their God is a god of compassion, love, and mercy. Yet, with all of this, they claim that God punishes all people who do not accept Jesus as their savior with eternal torment in Hell, i.e. the vast majority of mankind numbering into the billions. 
 
 What possible compassionate purpose can infinite torture have? The punishment doesn't even serve a remedial purpose because the tormented one is not allowed to repent. It's only conceivable purpose (to me at least) is sadism. 
 
 How is this not evil?
 
 This thread is especially so I can her the thoughts of Christians on this and how they rationalize it, but anyone can feel free to chime in with observations, etc.","Well, here is my take on it. I really believe that only the truly evil end up in Hell. Those like Hitler. I think that anyone else goes to heaven - Wiccans, Atheists, Buddhists, etc. - anyone who follows Christ's message of love, tolerance, and acceptance, whether knowingly or not. 
 
 Those who preach hate, and those who act on that hate, like Hitler, the KKK, and any other person/persons filled with hate (sad to say, this seems to apply to our own friend Archie here) are the ones who will end up in hell.",1
"6855","By Reduction to the Absurd:","Yes this is absurd.
 
 All things are subject to the Will of God the Creator. Nothing exists or can exist that is not subject to God's Will.
 
 God is not perfect at everything. God is not perfectly evil either. 
 
 Your analogy is flawed.
 
 Try again.",1
